TEAM," NAME"," EXPERIENCE"," URL"," POSITION"," AGE"," HT"," WT"," COLLEGE"," SALARY"," PPG_LAST_SEASON"," APG_LAST_SEASON"," RPG_LAST_SEASON"," PER_LAST_SEASON"," PPG_CAREER"," APG_CAREER"," RGP_CAREER"," GP"," MPG"," FGM_FGA"," FGP"," THM_THA"," THP"," FTM_FTA"," FTP"," APG"," BLKPG"," STLPG"," TOPG"," PPG"
Boston Celtics,Aron Baynes,6,http://www.espn.com/nba/player/_/id/2968439,SF,31,208.28,117.65,Washington State,"5,193,600",6.0,1.1,5.4,12.09,5.4,0.7,4.4,376,15.0,2.2-4.3,.502,0.0-0.1,.143,1.0-1.3,.802,0.7,0.5,0.2,0.8,5.4
Boston Celtics,Justin Bibbs,0,http://www.espn.com/nba/player/_/id/3147500,G,22,195.58,99.55,Virginia Tech,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Celtics,Jabari Bird,1,http://www.espn.com/nba/player/_/id/3064308,SG,24,198.12,89.59,California,"1,349,464",3.0,0.6,1.5,12.18,3.0,0.6,1.5,13,8.8,1.2-2.0,.577,0.2-0.5,.429,0.5-1.0,.462,0.6,0.1,0.2,0.6,3.0
Boston Celtics,Jaylen Brown,2,http://www.espn.com/nba/player/_/id/3917376,F,21,200.66,99.55,California,"5,169,960",14.5,1.6,4.9,13.69,10.4,1.2,3.8,148,23.6,3.8-8.3,.461,1.1-3.0,.379,1.6-2.4,.658,1.2,0.3,0.7,1.3,10.4
Boston Celtics,PJ Dozier,1,http://www.espn.com/nba/player/_/id/3923250,PG,21,198.12,92.76,South Carolina,Not signed,1.0,0.0,0.5,-4.82,1.0,0.0,0.5,2,1.5,0.5-1.0,.500,0.0-0.0,.000,0.0-0.0,.000,0.0,0.0,0.0,0.5,1.0
Boston Celtics,Marcus Georges-Hunt,2,http://www.espn.com/nba/player/_/id/2982261,SG,24,195.58,102.26,Georgia Tech,Not signed,1.4,0.2,0.4,6.88,1.6,0.2,0.5,47,5.8,0.5-1.2,.418,0.1-0.4,.294,0.5-0.7,.710,0.2,0.0,0.1,0.1,1.6
Boston Celtics,Gordon Hayward,8,http://www.espn.com/nba/player/_/id/4249,SF,28,203.2,101.81,Butler,"31,214,295",2.0,0.0,1.0,7.43,15.6,3.4,4.2,517,31.3,5.3-11.9,.444,1.3-3.6,.368,3.8-4.6,.820,3.4,0.4,1.0,2.0,15.6
Boston Celtics,Al Horford,11,http://www.espn.com/nba/player/_/id/3213,PF,32,208.28,110.86,Florida,"28,928,709",12.9,7.4,1.1,17.63,14.2,8.6,1.2,718,33.2,6.0-11.4,.525,0.4-1.1,.370,1.8-2.4,.750,3.2,1.2,0.8,1.6,14.2
Boston Celtics,Kyrie Irving,7,http://www.espn.com/nba/player/_/id/6442,PG,26,190.5,87.33,Duke,"20,099,189",24.4,5.1,3.8,25.03,22.0,5.5,3.4,441,33.9,8.0-17.4,.462,2.0-5.2,.388,3.9-4.5,.875,5.5,0.3,1.3,2.7,22.0
Boston Celtics,Nick King,0,http://www.espn.com/nba/player/_/id/3057182,F,23,200.66,101.81,Middle Tennessee,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Celtics,Walt Lemon Jr.,1,http://www.espn.com/nba/player/_/id/2528586,PG,26,190.5,81.45,Bradley,Not signed,3.4,1.0,0.4,7.03,3.4,1.0,0.4,5,7.0,1.4-3.2,.438,0.2-0.2,1.000,0.4-0.6,.667,1.0,0.2,0.0,0.8,3.4
Boston Celtics,Marcus Morris,7,http://www.espn.com/nba/player/_/id/6462,PF,29,205.74,106.33,Kansas,"5,375,000",13.6,5.4,0.2,14.57,11.2,4.4,0.2,470,26.3,4.1-9.7,.428,1.3-3.6,.357,1.6-2.1,.731,1.5,0.2,0.7,1.2,11.2
Boston Celtics,Semi Ojeleye,1,http://www.espn.com/nba/player/_/id/3056602,PF,23,200.66,109.05,SMU,"1,378,242",2.7,2.2,0.1,4.57,2.7,2.2,0.1,73,15.8,0.9-2.6,.346,0.5-1.7,.320,0.3-0.6,.610,0.3,0.1,0.3,0.3,2.7
Boston Celtics,Terry Rozier,3,http://www.espn.com/nba/player/_/id/3074752,PG,24,185.42,85.97,Louisville,"3,050,390",11.3,2.9,4.7,15.12,7.2,2.1,3.5,193,18.9,2.6-6.8,.377,1.1-3.2,.355,0.9-1.2,.773,2.1,0.2,0.7,0.8,7.2
Boston Celtics,Marcus Smart,4,http://www.espn.com/nba/player/_/id/2990992,PG,24,193.04,99.55,Oklahoma State,"11,660,716",10.2,4.8,3.5,10.83,9.4,3.9,3.7,261,28.7,3.1-8.7,.360,1.2-4.2,.293,2.0-2.6,.756,3.9,0.4,1.5,1.8,9.4
Boston Celtics,Jayson Tatum,1,http://www.espn.com/nba/player/_/id/4065648,SF,20,203.2,94.12,Duke,"6,700,800",13.9,1.6,5.0,15.29,13.9,1.6,5.0,80,30.5,5.0-10.4,.475,1.3-3.0,.434,2.7-3.2,.826,1.6,0.7,1.0,1.4,13.9
Boston Celtics,Daniel Theis,1,http://www.espn.com/nba/player/_/id/2451037,PF,26,203.2,109.95,-,"1,378,242",5.3,4.3,0.8,16.16,5.3,4.3,0.8,63,14.8,2.0-3.7,.541,0.3-0.9,.310,1.0-1.3,.753,0.9,0.8,0.5,0.9,5.3
Boston Celtics,Brad Wanamaker,0,http://www.espn.com/nba/player/_/id/6507,PG,29,193.04,95.02,Pittsburgh,"838,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Celtics,Robert Williams,0,http://www.espn.com/nba/player/_/id/4066211,C,20,208.28,108.6,Texas A&M,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston Celtics,Guerschon Yabusele,1,http://www.espn.com/nba/player/_/id/4017844,PF,22,203.2,117.65,-,"2,667,600",2.4,1.6,0.2,12.37,2.4,1.6,0.2,33,7.1,0.8-1.8,.426,0.4-1.1,.324,0.5-0.7,.682,0.5,0.2,0.1,0.4,2.4
Brooklyn Nets,Jarrett Allen,1,http://www.espn.com/nba/player/_/id/4066328,C,20,210.82,107.24,Texas,"2,034,120",8.2,5.4,1.2,17.56,8.2,5.4,1.2,72,20.0,3.3-5.5,.589,0.1-0.2,.333,1.6-2.0,.776,0.7,1.2,0.4,1.1,8.2
Brooklyn Nets,DeMarre Carroll,9,http://www.espn.com/nba/player/_/id/3970,SF,32,203.2,97.29,Missouri,"15,400,000",13.5,2.0,6.6,14.31,8.9,1.3,4.2,487,24.0,3.2-7.3,.436,1.1-3.1,.364,1.4-1.9,.738,1.3,0.3,1.0,0.8,8.9
Brooklyn Nets,Allen Crabbe,5,http://www.espn.com/nba/player/_/id/2531210,SG,26,198.12,95.93,California,"18,500,000",13.2,1.6,4.3,12.33,9.5,1.2,2.8,301,24.4,3.4-7.8,.439,1.6-4.0,.397,1.1-1.3,.849,1.2,0.3,0.6,0.7,9.5
Brooklyn Nets,Mitchell Creek,0,http://www.espn.com/nba/player/_/id/4236300,SF,26,195.58,100.9,-,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Ed Davis,8,http://www.espn.com/nba/player/_/id/4259,PF,29,208.28,101.81,North Carolina,"4,449,000",5.3,7.4,0.7,15.55,6.6,6.5,0.9,559,20.6,2.7-4.9,.564,0.0-0.0,.000,1.1-1.9,.579,0.8,0.9,0.5,0.8,6.6
Brooklyn Nets,Spencer Dinwiddie,4,http://www.espn.com/nba/player/_/id/2580782,PG,25,198.12,95.02,Colorado,"1,656,092",12.6,6.6,3.2,15.89,8.9,4.5,2.6,185,23.0,2.9-7.4,.387,1.0-3.3,.315,2.1-2.7,.798,4.5,0.3,0.7,1.3,8.9
Brooklyn Nets,Jared Dudley,11,http://www.espn.com/nba/player/_/id/3201,SF,33,200.66,107.24,Boston College,"9,530,000",3.2,1.6,2.0,8.79,8.0,1.6,3.3,788,23.4,2.9-6.2,.467,1.0-2.6,.396,1.1-1.6,.733,1.6,0.2,0.8,0.9,8.0
Brooklyn Nets,Kenneth Faried,7,http://www.espn.com/nba/player/_/id/6433,PF,28,203.2,99.55,Morehead State,"13,764,045",5.9,4.8,0.4,17.48,11.4,8.2,0.8,441,24.9,4.6-8.5,.543,0.0-0.0,.100,2.2-3.4,.655,1.0,0.8,0.8,1.3,11.4
Brooklyn Nets,Treveon Graham,2,http://www.espn.com/nba/player/_/id/2595231,SG,24,195.58,101.81,Virginia Commonwealth,"1,512,601",4.3,0.9,1.9,9.00,3.7,0.7,1.6,90,13.8,1.3-2.9,.441,0.5-1.2,.438,0.6-0.8,.689,0.7,0.0,0.4,0.3,3.7
Brooklyn Nets,Joe Harris,4,http://www.espn.com/nba/player/_/id/2528794,SF,27,198.12,98.64,Virginia,"8,000,000",10.8,1.6,3.3,13.39,7.6,1.1,2.4,186,19.5,2.7-6.0,.459,1.4-3.6,.400,0.7-0.9,.774,1.1,0.2,0.4,0.9,7.6
Brooklyn Nets,Rondae Hollis-Jefferson,3,http://www.espn.com/nba/player/_/id/3064291,SF,23,200.66,98.19,Arizona,"2,470,357",13.9,2.5,6.8,16.90,10.2,2.1,6.1,175,24.6,3.7-8.0,.456,0.2-0.8,.237,2.7-3.5,.767,2.1,0.6,1.1,1.5,10.2
Brooklyn Nets,Rodions Kurucs,0,http://www.espn.com/nba/player/_/id/4230548,SF,20,205.74,95.02,-,"1,618,320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Nets,Caris LeVert,2,http://www.espn.com/nba/player/_/id/2991043,SG,24,200.66,92.31,Michigan,"1,702,800",12.1,4.2,3.7,14.30,10.4,3.2,3.5,128,24.2,3.8-8.7,.440,1.1-3.4,.336,1.6-2.2,.714,3.2,0.2,1.0,1.7,10.4
Brooklyn Nets,Tahjere McCall,0,http://www.espn.com/nba/player/_/id/2992257,SG,24,195.58,85.97,Tennessee State,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
